FACILITY_NAME,COUNTY_NAME,LATITUDE,LONGTITUDE
Silivri Katı Atık Aktarma İstasyonu,SİLİVRİ,41.0910384187238,28.2901838395005
Ümraniye Hizmet Birimi,ÜMRANİYE,41.0573148489299,29.1057799005654
Bakkalköy Katı Atık Aktarma İstasyonu ,ATAŞEHİR,40.9852051289414,29.1299673906002
Kömürcüoda Enerji Üretim (LFG) Tesisi,ŞİLE,41.1457535289401,29.3774226299322
KıraçHizmet Birimi ,ESENYURT,41.0335342292881,28.6313501005367
Kömürcüoda Düzenli Depolama Alanı,ŞİLE,41.1508654587288,29.3692714005402
İBB Atık Yönetimi Müdürlüğü İBB Beyoğlu Ek Hizmet Binası ,BEYOĞLU,41.0389079990667,28.9715250005473
Baruthane Katı Atık Aktarma İstasyonu,ŞİŞLİ,41.0489899987435,28.9687040003943
Yenibosna Katı Atık Aktarma İstasyonu,BAHÇELİEVLER,40.9979405492631,28.8250659402433
Elektronik Atık İşleme ve Geri Kazanım Tesisi ,BAHÇELİEVLER,40.9970129986921,28.8254799997465
Hekimbaşı Katı Atık Aktama İstasyonu ,ÜMRANİYE,41.0583185290947,29.1134074295466
Şile Katı Atık Aktarma İstasyonu,ŞİLE,41.1531375293419,29.6394637205028
Açık Kompost ve Geri Dönüşüm Tesisi ,ŞİLE,41.1428449490565,29.3707492901884
Dolmabahçe Hizmet Birimi,BEŞİKTAŞ,41.0406779992191,28.9938199996169
Yenibosna Hizmet Birimi ,BAHÇELİEVLER,40.9968089989243,28.8251680001846
Gaziosmanpaşa Hizmet Birimi,SULTANGAZİ,41.0918899991622,28.8873780001592
Odayeri Enerji Üretim Tesisi ,EYÜPSULTAN,41.2161889994851,28.8534840000917
Kompost Tesisi,EYÜPSULTAN,41.2214989986859,28.8183579998198
Maltepe Hizmet Birimi ,MALTEPE,40.9344252894451,29.155083599478
Halkalı Katı Atık Aktarma İstasyonu,KÜÇÜKÇEKMECE,41.0433098889208,28.7624511097362
Edirnekapı Hizmet Birimi ,EYÜPSULTAN,41.0300459994223,28.9296020003827
Odayeri Düzenli Depolama Alanı Tıbbi Atık Yakma Tesisi ,EYÜPSULTAN,41.2161579991942,28.8545650003672
Odayeri Düzenli Depolama Alanı ,EYÜPSULTAN,41.2127199994295,28.8577619995369
Hasdal Enerji Üretim Tesisi,EYÜPSULTAN,41.1372243486914,28.9307905702657
Aydınlı Katı Atık Aktarma İstasyonu,TUZLA,40.8608823494234,29.3471512196003
Kömürcüoda Endüstriyel Atık Tesisi ,ŞİLE,41.1461847590375,29.3769867698783
Sancaktepe Aktarma İstasyonu,SANCAKTEPE,41.0051680992884,29.2639611695787
