İlçe,İlçe_Nüfusu,Çöp_Ton_2021,Çöp_Ton_2022,Kişi_Başına_Çöp_Ton,Min_Distance_to_Nearest_Facility,LATITUDE,LONGTITUDE,Percetage_Change_Garbage
Adalar,16372,11544.45,13494,0.7051337649645737,5.205,40.8763772,29.095444,1.1688733547288956
Arnavutköy,312023,106291.08,115336,0.340651426337161,3.332,41.2,28.733333,1.085095757800184
Ataşehi̇r,427217,171078.17,194753,0.4004479456575932,3.005,40.9833333,29.1166667,1.1383860372132808
Avcilar,457981,142170.27,171662,0.3104283147117456,4.863,41.0153479,28.7314618,1.2074395019436903
Bahçeli̇evler,605300,199120.09,215389,0.3289609945481579,1.963,40.9975,28.8505556,1.0817040108810718
Bağcilar,744351,269117.0,289396,0.3615458298571507,3.417,41.0455556,28.8405556,1.075353842380823
Bakirköy,228759,99997.74,134023,0.4371313915518078,3.98,40.968155,28.8228,1.3402602898825513
Başakşehi̇r,503243,224632.88,251772,0.4463706002865415,4.905,41.077895,28.812551,1.1208154389508784
Bayrampaşa,274884,118431.35,131432,0.4308411911933761,2.198,41.0481503,28.9004553,1.1097737212317516
Beşi̇ktaş,178938,105959.374,119649,0.5921569146855336,10.489,41.068616,29.0285355,1.1291969316466517
Beykoz,248595,140173.69,143675,0.5638636738470203,3.419,41.132719,29.10569,1.0249783679091276
Beyli̇kdüzü,398122,132878.23,152054,0.3337625903617484,7.761,40.9910381,28.6498144,1.1443108476083703
Beyoğlu,233322,123942.8,131560,0.5312092301626079,2.28,41.0382864,28.9703304,1.0614573819536108
Büyükçekmece,269160,115413.28,140411,0.4287906078169118,4.002,41.034133,28.590003,1.216593099165018
Çatalca,76131,37403.97,36997,0.4913106356149269,5.045,41.148239,28.46773,0.9891196041489714
Çekmeköy,288585,101994.16,118419,0.3534284872741133,2.45,41.104235,29.3177272,1.161037063298526
Esenler,447116,136915.47,150301,0.3062191243435708,4.043,41.0794133,28.8538545,1.097764920209528
Esenyurt,977489,396339.29,458424,0.4054667520555218,4.157,41.0342806,28.6801194,1.1566453580718683
Eyüp,417360,153774.75,171194,0.368446305347901,2.084,41.1871598,28.8829816,1.1132777000125182
Fati̇h,382990,215333.72,230591,0.5622437139350897,1.52,41.0166667,28.9333333,1.0708541142557702
Gazi̇osmanpaşa,493096,155553.93,172595,0.3154637839284845,3.54,41.0759477,28.9004553,1.1095508805209873
Güngören,283083,109635.9,113068,0.3872924195377327,4.091,41.0166667,28.8833333,1.0313045270755292
Kadiköy,485233,198561.54,205390,0.4092086482164239,3.133,40.980141,29.08227,1.0343896406121749
Kağithane,454550,153360.52,164056,0.337389770102299,6.177,41.071,28.97,1.0697407650939108
Kartal,480738,163375.7,184030,0.339843532235854,16.176,40.899651,29.193649,1.1264221056130133
Küçükçekmece,805930,304250.88,340982,0.3775152680753911,3.469,41.008658,28.775342,1.120726421563678
Maltepe,525566,174168.48,186069,0.3313922133471343,0.122,40.949047,29.174109,1.0683276331055995
Pendi̇k,741895,246721.13,262548,0.3325553211707856,4.973,40.879326,29.258135,1.0641488225998317
Sancaktepe,474668,162619.02,175861,0.3425952876536863,8.298,41.0287028,29.2901829,1.0814294662457071
Sariyer,349968,162873.49,183295,0.4653953790060805,4.257,41.166328,29.04995,1.1253826512835208
Si̇li̇vri̇,209014,102225.27,111348,0.4890833628369391,3.167,41.080158,28.26829,1.0892414370732402
Sultanbeyli̇,349485,127128.76,132672,0.3637602758344421,5.695,40.9611123,29.2669438,1.0436033514367635
Sultangazi̇,543380,184951.83,204480,0.3403729066215171,3.192,41.1255794,28.8713314,1.1055851677704407
Şi̇le,41627,38499.69,36141,0.9248730391332548,5.452,41.1763889,29.6127778,0.9387348313713694
Şi̇şli̇,284294,135149.56,149282,0.4753866068225147,2.105,41.06,28.987,1.1045688938979898
Tuzla,284443,136348.08,140503,0.4793511529550736,4.053,40.842,29.295,1.030472889680588
Ümrani̇ye,726758,262269.8,306504,0.3608763852616689,1.136,41.0303,29.1065,1.1686591441332552
Üsküdar,525395,208304.12,238612,0.3964714548101904,7.503,41.032236,29.031938,1.145498226343291
Zeyti̇nburnu,293839,132603.47,145918,0.4512793400467603,8.172,40.990635,28.89614,1.1004086092166363
