,İlçe,ÇöpTon,İlçe Nüfusu,Erkek Nüfusu,Kadın Nüfusu,KişiBaşınaÇöp_ton
0,Adalar,11544.45,16372,8419,7953,0.7051337649645737
1,Arnavutköy,106291.08,312023,160540,151483,0.34065142633716106
2,Ataşehir,171078.17,427217,209502,217715,0.40044794565759323
3,Avcılar,142170.27,457981,230029,227952,0.31042831471174565
4,Bahçelievler,199120.09,605300,305869,299431,0.3289609945481579
5,Bağcılar,269117.0,744351,378073,366278,0.3615458298571507
6,Bakırköy,99997.74,228759,106582,122177,0.4371313915518078
7,Başakşehir,224632.88,503243,252731,250512,0.4463706002865415
8,Bayrampaşa,118431.35,274884,138461,136423,0.43084119119337616
9,Beşiktaş,105959.374,178938,81777,97161,0.5921569146855336
10,Beykoz,140173.69,248595,122991,125604,0.5638636738470203
11,Beylikdüzü,132878.23,398122,194742,203380,0.33376259036174843
12,Beyoğlu,123942.8,233322,120151,113171,0.5312092301626079
13,Büyükçekmece,115413.28,269160,133114,136046,0.42879060781691186
14,Çatalca,37403.97,76131,39046,37085,0.49131063561492694
15,Çekmeköy,101994.16,288585,143789,144796,0.35342848727411336
16,Esenler,136915.47,447116,230017,217099,0.3062191243435708
17,Esenyurt,396339.29,977489,500994,476495,0.40546675205552185
18,Eyüp,153774.75,417360,208754,208606,0.36844630534790107
19,Fatih,215333.72,382990,190991,191999,0.5622437139350897
20,Gaziosmanpaşa,155553.93,493096,247587,245509,0.3154637839284845
21,Güngören,109635.9,283083,143719,139364,0.38729241953773275
22,Kadıköy,198561.54,485233,218661,266572,0.4092086482164239
23,Kağıthane,153360.52,454550,229412,225138,0.337389770102299
24,Kartal,163375.7,480738,237136,243602,0.33984353223585406
25,Küçükçekmece,304250.88,805930,403820,402110,0.37751526807539115
26,Maltepe,174168.48,525566,262663,262903,0.33139221334713437
27,Pendik,246721.13,741895,374807,367088,0.3325553211707856
28,Sancaktepe,162619.02,474668,240230,234438,0.34259528765368635
29,Sarıyer,162873.49,349968,172832,177136,0.4653953790060805
30,Silivri,102225.27,209014,118642,90372,0.48908336283693915
31,Sultanbeyli,127128.76,349485,178935,170550,0.3637602758344421
32,Sultangazi,184951.83,543380,277601,265779,0.34037290662151715
33,Şile,38499.69,41627,21558,20069,0.9248730391332549
34,Şişli,135149.56,284294,138611,145683,0.4753866068225147
35,Tuzla,136348.08,284443,145258,139185,0.4793511529550736
36,Ümraniye,262269.8,726758,363386,363372,0.36087638526166893
37,Üsküdar,208304.12,525395,255022,270373,0.3964714548101904
38,Zeytinburnu,132603.47,293839,147234,146605,0.4512793400467603
